Account Statement - (@jordan-reyes) - September 2025,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392025090001882,2025-09-03T11:07:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $39.40,,Venmo balance
,392025090002882,2025-09-07T12:14:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $71.03,,Venmo balance
,392025090003882,2025-09-07T13:21:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $46.71,,Venmo balance
,392025090004882,2025-09-08T14:28:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392025090005882,2025-09-11T15:35:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $56.58,,Venmo balance
,392025090006882,2025-09-11T16:42:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $42.27,,Venmo balance
,392025090007882,2025-09-13T17:49:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $29.54,,Venmo balance
,392025090008882,2025-09-16T18:56:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $50.73,,Venmo balance
,392025090009882,2025-09-17T10:03:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $77.25,,Venmo balance
,392025090010882,2025-09-18T11:10:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $48.32,,Venmo balance
,392025090011882,2025-09-21T12:17:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $19.68,,Venmo balance
,392025090012882,2025-09-21T13:24:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $29.29,,Venmo balance
