Account Statement - (@jordan-reyes) - October 2025,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392025100001882,2025-10-03T11:07:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $45.87,,Venmo balance
,392025100002882,2025-10-06T12:14:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $61.71,,Venmo balance
,392025100003882,2025-10-08T13:21:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392025100004882,2025-10-09T14:28:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $27.65,,Venmo balance
,392025100005882,2025-10-14T15:35:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $51.68,,Venmo balance
,392025100006882,2025-10-14T16:42:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $14.11,,Venmo balance
,392025100007882,2025-10-14T17:49:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $60.53,,Venmo balance
,392025100008882,2025-10-17T18:56:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $66.25,,Venmo balance
,392025100009882,2025-10-17T10:03:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $10.67,,Venmo balance
,392025100010882,2025-10-20T11:10:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $46.59,,Venmo balance
,392025100011882,2025-10-23T12:17:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $39.34,,Venmo balance
,392025100012882,2025-10-26T13:24:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $12.11,,Venmo balance
