Account Statement - (@jordan-reyes) - November 2025,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392025110001882,2025-11-02T11:07:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $45.45,,Venmo balance
,392025110002882,2025-11-03T12:14:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $57.59,,Venmo balance
,392025110003882,2025-11-03T13:21:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $8.63,,Venmo balance
,392025110004882,2025-11-05T14:28:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $28.96,,Venmo balance
,392025110005882,2025-11-05T15:35:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $41.53,,Venmo balance
,392025110006882,2025-11-08T16:42:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392025110007882,2025-11-09T17:49:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $34.54,,Venmo balance
,392025110008882,2025-11-11T18:56:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $40.63,,Venmo balance
,392025110009882,2025-11-12T10:03:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $29.87,,Venmo balance
,392025110010882,2025-11-16T11:10:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $43.66,,Venmo balance
,392025110011882,2025-11-21T12:17:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $40.74,,Venmo balance
,392025110012882,2025-11-27T13:24:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $27.44,,Venmo balance
