Account Statement - (@jordan-reyes) - December 2025,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392025120001882,2025-12-08T11:07:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392025120002882,2025-12-09T12:14:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $76.25,,Venmo balance
,392025120003882,2025-12-11T13:21:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $49.71,,Venmo balance
,392025120004882,2025-12-13T14:28:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $25.86,,Venmo balance
,392025120005882,2025-12-14T15:35:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $26.85,,Venmo balance
,392025120006882,2025-12-14T16:42:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $53.07,,Venmo balance
,392025120007882,2025-12-15T17:49:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $53.63,,Venmo balance
,392025120008882,2025-12-21T18:56:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $61.50,,Venmo balance
,392025120009882,2025-12-25T10:03:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $37.80,,Venmo balance
,392025120010882,2025-12-27T11:10:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $58.94,,Venmo balance
,392025120011882,2025-12-27T12:17:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $22.50,,Venmo balance
,392025120012882,2025-12-28T13:24:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $39.08,,Venmo balance
