Account Statement - (@jordan-reyes) - February 2026,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392026020001882,2026-02-01T11:07:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $30.70,,Venmo balance
,392026020002882,2026-02-02T12:14:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $12.54,,Venmo balance
,392026020003882,2026-02-04T13:21:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $25.56,,Venmo balance
,392026020004882,2026-02-05T14:28:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $66.19,,Venmo balance
,392026020005882,2026-02-08T15:35:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392026020006882,2026-02-10T16:42:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $32.51,,Venmo balance
,392026020007882,2026-02-14T17:49:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $13.78,,Venmo balance
,392026020008882,2026-02-17T18:56:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $23.63,,Venmo balance
,392026020009882,2026-02-18T10:03:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $60.05,,Venmo balance
,392026020010882,2026-02-23T11:10:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $61.54,,Venmo balance
,392026020011882,2026-02-25T12:17:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $15.05,,Venmo balance
,392026020012882,2026-02-26T13:24:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $57.07,,Venmo balance
