Account Statement - (@jordan-reyes) - March 2026,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392026030001882,2026-03-01T11:07:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $20.37,,Venmo balance
,392026030002882,2026-03-01T12:14:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $46.40,,Venmo balance
,392026030003882,2026-03-04T13:21:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $55.59,,Venmo balance
,392026030004882,2026-03-04T14:28:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $23.86,,Venmo balance
,392026030005882,2026-03-08T15:35:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392026030006882,2026-03-11T16:42:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $33.75,,Venmo balance
,392026030007882,2026-03-13T17:49:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $76.48,,Venmo balance
,392026030008882,2026-03-16T18:56:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $45.09,,Venmo balance
,392026030009882,2026-03-16T10:03:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $47.03,,Venmo balance
,392026030010882,2026-03-21T11:10:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $16.87,,Venmo balance
,392026030011882,2026-03-24T12:17:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $44.24,,Venmo balance
,392026030012882,2026-03-26T13:24:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $59.65,,Venmo balance
