Account Statement - (@jordan-reyes) - April 2026,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392026040001882,2026-04-03T11:07:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $10.55,,Venmo balance
,392026040002882,2026-04-03T12:14:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $14.75,,Venmo balance
,392026040003882,2026-04-08T13:21:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392026040004882,2026-04-10T14:28:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $51.04,,Venmo balance
,392026040005882,2026-04-12T15:35:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $69.67,,Venmo balance
,392026040006882,2026-04-13T16:42:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $24.16,,Venmo balance
,392026040007882,2026-04-13T17:49:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $46.43,,Venmo balance
,392026040008882,2026-04-14T18:56:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $56.33,,Venmo balance
,392026040009882,2026-04-24T10:03:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $13.90,,Venmo balance
,392026040010882,2026-04-24T11:10:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $12.49,,Venmo balance
,392026040011882,2026-04-25T12:17:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $40.61,,Venmo balance
,392026040012882,2026-04-28T13:24:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $26.97,,Venmo balance
