Account Statement - (@jordan-reyes) - May 2026,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392026050001882,2026-05-04T11:07:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $28.70,,Venmo balance
,392026050002882,2026-05-04T12:14:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $61.16,,Venmo balance
,392026050003882,2026-05-07T13:21:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $25.44,,Venmo balance
,392026050004882,2026-05-08T14:28:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392026050005882,2026-05-09T15:35:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $47.05,,Venmo balance
,392026050006882,2026-05-09T16:42:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $19.40,,Venmo balance
,392026050007882,2026-05-13T17:49:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $33.58,,Venmo balance
,392026050008882,2026-05-17T18:56:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $25.02,,Venmo balance
,392026050009882,2026-05-19T10:03:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $27.40,,Venmo balance
,392026050010882,2026-05-26T11:10:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $59.43,,Venmo balance
,392026050011882,2026-05-26T12:17:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $58.68,,Venmo balance
,392026050012882,2026-05-27T13:24:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $59.39,,Venmo balance
