Account Statement - (@jordan-reyes) - June 2026,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392026060001882,2026-06-01T11:07:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $14.00,,Venmo balance
,392026060002882,2026-06-03T12:14:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $35.06,,Venmo balance
,392026060003882,2026-06-04T13:21:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $44.31,,Venmo balance
,392026060004882,2026-06-04T14:28:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $47.15,,Venmo balance
,392026060005882,2026-06-06T15:35:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $34.49,,Venmo balance
,392026060006882,2026-06-08T16:42:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392026060007882,2026-06-08T17:49:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $12.95,,Venmo balance
,392026060008882,2026-06-14T18:56:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $42.38,,Venmo balance
,392026060009882,2026-06-18T10:03:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $10.86,,Venmo balance
,392026060010882,2026-06-19T11:10:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $16.58,,Venmo balance
,392026060011882,2026-06-20T12:17:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $55.65,,Venmo balance
,392026060012882,2026-06-27T13:24:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $17.88,,Venmo balance
