Account Statement - (@jordan-reyes) - August 2025,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392025080001882,2025-08-01T11:07:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $59.44,,Venmo balance
,392025080002882,2025-08-01T12:14:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $24.51,,Venmo balance
,392025080003882,2025-08-01T13:21:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $53.14,,Venmo balance
,392025080004882,2025-08-07T14:28:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $37.55,,Venmo balance
,392025080005882,2025-08-08T15:35:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392025080006882,2025-08-10T16:42:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $34.99,,Venmo balance
,392025080007882,2025-08-11T17:49:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $54.24,,Venmo balance
,392025080008882,2025-08-12T18:56:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $8.12,,Venmo balance
,392025080009882,2025-08-12T10:03:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $31.71,,Venmo balance
,392025080010882,2025-08-22T11:10:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $14.44,,Venmo balance
,392025080011882,2025-08-24T12:17:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $38.75,,Venmo balance
,392025080012882,2025-08-26T13:24:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $21.88,,Venmo balance
