Account Statement - (@jordan-reyes) - January 2026,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392026010001882,2026-01-03T11:07:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $19.77,,Venmo balance
,392026010002882,2026-01-04T12:14:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $36.15,,Venmo balance
,392026010003882,2026-01-06T13:21:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $58.59,,Venmo balance
,392026010004882,2026-01-08T14:28:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392026010005882,2026-01-10T15:35:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $17.76,,Venmo balance
,392026010006882,2026-01-11T16:42:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $10.74,,Venmo balance
,392026010007882,2026-01-13T17:49:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $50.91,,Venmo balance
,392026010008882,2026-01-14T18:56:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $26.69,,Venmo balance
,392026010009882,2026-01-15T10:03:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $78.69,,Venmo balance
,392026010010882,2026-01-15T11:10:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $29.37,,Venmo balance
,392026010011882,2026-01-20T12:17:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $12.28,,Venmo balance
,392026010012882,2026-01-24T13:24:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $49.40,,Venmo balance
