Account Statement - (@jordan-reyes) - July 2026,,,,,,,,,,
Account Activity,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (fee),Funding Source
,392026070001882,2026-07-04T11:07:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $48.10,,Venmo balance
,392026070002882,2026-07-06T12:14:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $46.69,,Venmo balance
,392026070003882,2026-07-07T13:21:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $12.11,,Venmo balance
,392026070004882,2026-07-07T14:28:00,Payment,Complete,Payment,Jordan Reyes,Sam K,- $30.91,,Venmo balance
,392026070005882,2026-07-08T15:35:00,Standard Transfer,Complete,Transfer from bank,,Venmo balance,+ $120.00,,Venmo balance
,392026070006882,2026-07-08T16:42:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $21.20,,Venmo balance
,392026070007882,2026-07-10T17:49:00,Payment,Complete,Payment,Jordan Reyes,Pdx Climbing Club,- $41.39,,Venmo balance
,392026070008882,2026-07-12T18:56:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $9.77,,Venmo balance
,392026070009882,2026-07-13T10:03:00,Payment,Complete,Payment received,Pri T,Jordan Reyes,+ $41.44,,Venmo balance
,392026070010882,2026-07-20T11:10:00,Payment,Complete,Payment received,Alex R,Jordan Reyes,+ $47.35,,Venmo balance
,392026070011882,2026-07-23T12:17:00,Payment,Complete,Payment,Jordan Reyes,Dana W,- $47.21,,Venmo balance
,392026070012882,2026-07-25T13:24:00,Payment,Complete,Payment,Jordan Reyes,Riley M,- $26.55,,Venmo balance
